annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;numero_jokerplus;devise;
2017106;LUNDI   ;04/09/2017;04/11/2017;33;6;27;1;35;9;1-6-27-33-35+9;0;7000000;0;100000;28;1000;237;500;1425;50;12995;20;21745;10;206426;5;294298;2,2;10;20000;U 2453 2155,A 2535 4551,B 2347 2229,G 8116 6905,J 8719 4951,K 1214 3797,D 3492 7018,V 8949 2481,O 0723 6893,P 7131 4349;2 320 132;eur;
2017105;SAMEDI  ;02/09/2017;02/11/2017;10;14;1;40;18;7;1-10-14-18-40+7;0;6000000;1;100000;109;1000;652;500;4798;50;27891;20;63660;10;361928;5;785214;2,2;10;20000;P 3787 3312,C 2810 9995,D 7521 3412,T 4233 5832,P 6041 7886,N 7154 8933,B 4247 4153,M 7788 0547,R 8274 4884,V 2620 9315;6 319 289;eur;
2017104;MERCREDI;30/08/2017;30/10/2017;29;26;7;12;47;9;7-12-26-29-47+9;0;5000000;2;100000;73;1000;600;500;2465;50;23320;20;31500;10;296825;5;349204;2,2;10;20000;V 3420 6019,G 4781 7191,A 3558 4108,T 0911 2246,N 8423 6631,B 7730 2829,A 7023 0470,M 9920 8850,P 8715 5828,U 2847 3462;8 141 873;eur;
2017103;LUNDI   ;28/08/2017;28/10/2017;6;8;20;24;42;6;6-8-20-24-42+6;0;4000000;2;100000;53;1000;340;500;2087;50;15692;20;24733;10;210319;5;266557;2,2;10;20000;L 2482 2086,O 7914 6105,S 7211 4386,G 8356 3000,P 3821 8865,F 1840 5160,P 0558 3197,Q 7630 2366,D 1894 1399,L 4708 9213;2 557 289;eur;
2017102;SAMEDI  ;26/08/2017;26/10/2017;10;40;35;32;38;3;10-32-35-38-40+3;0;3000000;0;100000;29;1000;323;500;1761;50;15642;20;27888;10;245232;5;513162;2,2;10;20000;R 8119 8756,F 0212 1620,H 3827 1537,P 9424 2722,S 2253 1266,T 3010 2487,C 1570 0143,A 6393 9096,Q 2304 2736,R 2583 3101;0 276 011;eur;
2017101;MERCREDI;23/08/2017;23/10/2017;32;23;16;1;4;7;1-4-16-23-32+7;0;2000000;0;100000;71;1000;401;500;3118;50;17243;20;42221;10;228126;5;540580;2,2;10;20000;I 1677 0884,V 2487 1674,T 4862 6265,O 4369 9215,E 6182 8985,F 5804 2857,R 4450 4595,L 1520 4105,P 3846 4670,C 7046 6525;0 053 349;eur;
2017100;LUNDI   ;21/08/2017;21/10/2017;8;36;43;27;14;5;8-14-27-36-43+5;1;2000000;2;100000;38;1000;277;500;1722;50;11726;20;24184;10;172981;5;331125;2,2;10;20000;S 0812 8504,O 2768 5008,N 3107 5168,C 8359 3580,H 7050 3510,R 8488 6889,M 1147 0826,V 3463 2879,H 7983 8003,D 6966 8090;8 291 617;eur;
2017099;SAMEDI  ;19/08/2017;19/10/2017;39;8;40;21;7;7;7-8-21-39-40+7;1;4000000;1;100000;64;1000;368;500;3485;50;19428;20;56802;10;312504;5;744155;2,2;10;20000;J 5377 2238,H 4410 2236,E 6243 1183,Q 5107 2034,O 2209 4153,I 9362 9899,A 6718 3722,R 2389 3860,F 0996 6842,A 2545 2483;2 213 484;eur;
2017098;MERCREDI;16/08/2017;16/10/2017;31;29;25;19;41;4;19-25-29-31-41+4;0;3000000;0;100000;32;1000;293;500;1628;50;15244;20;23439;10;224777;5;329708;2,2;10;20000;G 2269 7335,T 0697 4116,F 0314 4947,L 9462 7906,R 5002 1896,N 2489 8781,M 0615 8922,B 5938 8231,A 1300 2479,I 6491 8547;9 270 840;eur;
2017097;LUNDI   ;14/08/2017;14/10/2017;13;15;39;2;9;4;2-9-13-15-39+4;0;2000000;1;100000;31;1000;353;500;1671;50;16127;20;22655;10;213155;5;267564;2,2;10;20000;F 2648 3297,C 3193 8173,E 8485 0537,P 0124 5819,M 2022 9881,R 0965 2265,P 8018 7231,P 9343 7476,M 1539 8530,D 3634 6233;2 750 075;eur;
2017096;SAMEDI  ;12/08/2017;12/10/2017;13;36;41;15;5;10;5-13-15-36-41+10;1;5000000;4;100000;41;1000;491;500;1861;50;23073;20;28726;10;354257;5;384469;2,2;10;20000;F 1083 8674,D 5971 2472,B 2288 9995,B 7965 9061,U 8735 9398,E 4396 5164,F 1728 3815,S 0398 8956,S 1829 0409,K 1936 4013;3 484 008;eur;
2017095;MERCREDI;09/08/2017;09/10/2017;32;38;36;31;49;1;31-32-36-38-49+1;0;4000000;2;100000;19;1000;291;500;1083;50;11527;20;16082;10;181121;5;285558;2,2;10;20000;K 7480 2856,S 6330 2006,J 3782 6114,F 7419 0648,G 4655 2184,S 2263 3467,V 8874 9630,K 1681 9326,F 3309 4792,E 5487 7782;8 703 848;eur;
2017094;LUNDI   ;07/08/2017;07/10/2017;38;24;42;21;14;4;14-21-24-38-42+4;0;3000000;2;100000;38;1000;315;500;1553;50;13081;20;20489;10;180174;5;283676;2,2;10;20000;K 0378 3641,E 1090 2115,G 2982 6311,K 9897 1187,K 8341 0983,E 4919 4479,P 0558 5678,M 0203 0803,B 6911 6426,R 5801 1210;1 453 427;eur;
2017093;SAMEDI  ;05/08/2017;05/10/2017;3;25;30;13;37;2;3-13-25-30-37+2;0;2000000;1;100000;64;1000;713;500;2353;50;27467;20;31413;10;365292;5;407458;2,2;10;20000;B 7886 6505,V 5421 3164,G 7686 9573,F 6621 1873,O 2761 5107,A 8997 4751,R 2361 2271,R 0995 7296,M 1153 3980,K 4765 4026;8 967 878;eur;
2017092;MERCREDI;02/08/2017;02/10/2017;34;30;9;12;32;7;9-12-30-32-34+7;1;4000000;0;100000;44;1000;333;500;2627;50;15660;20;41365;10;237668;5;568999;2,2;10;20000;J 3538 3925,O 1317 8346,E 6480 0940,A 6755 4099,M 5246 6591,O 9383 2671,I 5557 6953,J 2946 3672,Q 2790 6305,E 7383 8200;1 782 270;eur;
2017091;LUNDI   ;31/07/2017;30/09/2017;45;37;47;25;31;7;25-31-37-45-47+7;0;3000000;0;100000;41;1000;209;500;1685;50;9408;20;26016;10;146925;5;446558;2,2;10;20000;T 2295 5573,T 0192 5873,Q 7647 8714,I 8144 9914,F 5185 7075,V 8841 9607,V 8845 0227,M 6965 0296,I 6314 9501,T 2934 6925;4 029 015;eur;
2017090;SAMEDI  ;29/07/2017;28/09/2017;24;41;45;23;10;1;10-23-24-41-45+1;0;2000000;1;100000;47;1000;368;500;1813;50;20087;20;27632;10;319909;5;381558;2,2;10;20000;N 9271 5573,T 0540 6073,O 8825 6067,J 4017 5921,T 9961 8467,P 5243 2546,A 2414 7007,F 3828 7547,R 7425 2888,S 4553 5940;3 594 688;eur;
2017089;MERCREDI;26/07/2017;25/09/2017;13;44;35;3;25;2;3-13-25-35-44+2;1;2000000;2;100000;29;1000;493;500;1525;50;17907;20;21341;10;254229;5;294203;2,2;10;20000;D 0851 7884,L 1829 2343,J 5706 3905,O 2032 6901,A 0385 8971,I 5043 3062,S 8773 3345,B 9928 5197,U 7821 0477,K 2370 2745;5 632 466;eur;
2017088;LUNDI   ;24/07/2017;23/09/2017;14;11;38;21;35;3;11-14-21-35-38+3;1;3000000;2;100000;35;1000;269;500;1437;50;12632;20;22293;10;184959;5;307283;2,2;10;20000;T 1076 2686,P 6788 4754,C 2819 6665,Q 6546 4372,S 2375 4323,K 0326 4886,D 1690 7037,N 5643 5131,A 9133 4488,T 5918 7564;0 807 480;eur;
2017087;SAMEDI  ;22/07/2017;21/09/2017;40;30;16;5;28;9;5-16-28-30-40+9;0;2000000;4;100000;52;1000;600;500;2496;50;25226;20;35265;10;342423;5;480504;2,2;10;20000;F 3347 4657,E 4993 2635,D 4162 0234,M 4324 1858,C 4321 3543,Q 5810 2747,J 4029 9504,T 5521 5968,U 5292 4366,R 8631 7046;7 926 316;eur;
2017086;MERCREDI;19/07/2017;18/09/2017;16;26;6;8;9;7;6-8-9-16-26+7;1;17000000;5;100000;163;1000;762;500;5289;50;30179;20;59769;10;338667;5;665756;2,2;10;20000;U 3285 7630,C 7543 7951,B 9961 4051,L 0863 4406,E 1954 2135,Q 4680 5656,P 5797 5114,R 3291 1828,V 8787 1092,E 6337 7644;5 963 697;eur;
2017085;LUNDI   ;17/07/2017;16/09/2017;40;41;5;33;16;2;5-16-33-40-41+2;0;16000000;0;100000;29;1000;284;500;1358;50;14515;20;18967;10;214792;5;291934;2,2;10;20000;S 3560 7765,V 8740 6942,P 4898 6536,H 3689 7080,F 4743 3563,G 8616 1989,Q 3588 3434,P 4247 6617,R 1561 0470,M 3896 2318;6 724 127;eur;
2017084;SAMEDI  ;15/07/2017;14/09/2017;34;37;24;48;29;2;24-29-34-37-48+2;0;15000000;2;100000;47;1000;479;500;1989;50;22077;20;29741;10;321860;5;481662;2,2;10;20000;S 7160 3657,V 8772 8462,K 4612 8880,O 5256 5690,J 5221 6089,U 5853 2825,P 5560 7149,G 5076 8725,Q 5584 7481,E 4006 8697;2 186 266;eur;
2017083;MERCREDI;12/07/2017;11/09/2017;3;16;31;43;18;5;3-16-18-31-43+5;0;14000000;3;100000;70;1000;544;500;3033;50;22924;20;43497;10;324691;5;584855;2,2;10;20000;F 5014 4266,K 6563 8804,G 3526 9877,H 7223 0368,U 3536 7403,Q 7754 8901,E 4513 7450,P 2634 4253,R 5909 2815,O 0601 4023;1 143 286;eur;
2017082;LUNDI   ;10/07/2017;09/09/2017;23;43;17;21;18;4;17-18-21-23-43+4;0;13000000;1;100000;32;1000;359;500;1822;50;16993;20;26979;10;241566;5;361544;2,2;10;20000;J 6239 7964,M 9500 4598,V 8129 6240,C 4602 3993,N 1078 9112,Q 1835 9282,T 1581 2530,A 3796 2815,B 2015 6509,L 7375 9613;7 251 874;eur;
2017081;SAMEDI  ;08/07/2017;07/09/2017;9;30;46;43;31;10;9-30-31-43-46+10;0;12000000;1;100000;33;1000;378;500;1894;50;20478;20;29124;10;330447;5;429979;2,2;10;20000;E 2541 1049,C 1306 4405,H 5735 3149,Q 6077 0237,V 8738 5367,J 2354 4529,A 7718 6981,E 8675 7727,T 4220 9737,I 2039 8622;9 015 282;eur;
2017080;MERCREDI;05/07/2017;04/09/2017;18;29;17;34;8;6;8-17-18-29-34+6;0;11000000;0;100000;47;1000;457;500;2058;50;20712;20;29034;10;289374;5;381546;2,2;10;20000;J 7878 1213,F 7700 0853,V 8714 2027,M 3774 5900,E 4123 0871,R 9291 6724,R 0641 9792,N 6260 6433,C 5977 5808,A 8800 6187;6 067 827;eur;
2017079;LUNDI   ;03/07/2017;02/09/2017;48;8;10;28;2;2;2-8-10-28-48+2;0;10000000;11;100000;65;1000;583;500;2308;50;20562;20;26245;10;244889;5;271807;2,2;10;20000;S 9927 0703,K 5284 4847,F 5501 4641,C 6330 7983,S 6836 6528,K 4876 5676,P 2391 6891,K 6351 1043,A 7668 9048,M 5781 1886;8 127 607;eur;
2017078;SAMEDI  ;01/07/2017;31/08/2017;26;47;16;33;21;8;16-21-26-33-47+8;0;9000000;2;100000;49;1000;498;500;2577;50;22979;20;37328;10;333477;5;549705;2,2;10;20000;G 1907 9403,C 9478 4721,I 5867 6178,S 4685 4764,T 6229 4818,K 1686 0706,A 4785 4844,E 8756 5193,T 8379 8494,R 1195 5145;0 538 965;eur;
